,Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Base_MET,HR_Intensity,Effective_MET,Calories_Burned (kcal)
58,46,Male,65.1,1.72,175.0,150.0,78.0,0.25,Mixed,22.8,3.6,3,0,21.9,8.0,0.7422680412371134,5.938144329896907,96.6
59,35,Female,71.9,1.59,183.0,165.0,61.0,1.06,HIIT,16.7,4.0,5,2,28.3,9.5,0.8524590163934426,8.098360655737704,617.2
60,43,Female,49.2,1.45,177.0,161.0,70.0,0.7,HIIT,26.8,2.8,4,1,23.4,9.5,0.8504672897196262,8.07943925233645,278.3
61,51,Male,86.5,1.71,173.0,158.0,74.0,1.08,HIIT,25.4,3.4,2,0,29.4,9.5,0.8484848484848485,8.06060606060606,753.0
62,27,Male,91.0,1.66,189.0,135.0,69.0,1.14,Yoga,19.5,4.3,5,1,32.8,3.0,0.55,1.65,171.2
63,53,Female,74.1,1.62,169.0,146.0,76.0,0.56,Mixed,15.6,3.4,5,1,28.1,8.0,0.7526881720430108,6.021505376344086,249.9
64,31,Male,75.2,1.76,188.0,152.0,66.0,1.04,Strength,15.0,3.6,5,2,24.4,6.0,0.7049180327868853,4.229508196721311,330.8
65,48,Male,75.2,1.68,181.0,141.0,68.0,1.05,Cardio,15.8,3.4,5,3,26.8,7.0,0.6460176991150443,4.522123893805309,357.1
66,32,Male,57.7,1.55,189.0,139.0,76.0,0.25,Yoga,21.7,3.1,3,0,24.1,3.0,0.5575221238938053,1.672566371681416,24.1
67,25,Female,39.8,1.49,197.0,154.0,76.0,0.71,Cardio,21.8,3.6,4,2,18.0,7.0,0.6446280991735537,4.512396694214876,127.5
68,31,Male,52.5,1.57,185.0,148.0,81.0,0.6,Cardio,28.8,2.2,3,0,21.4,7.0,0.6442307692307693,4.509615384615385,142.1
69,40,Female,72.9,1.9,187.0,170.0,75.0,0.44,HIIT,22.1,2.6,2,0,20.2,9.5,0.8482142857142857,8.058035714285714,258.5
70,57,Female,65.4,1.75,166.0,125.0,76.0,0.66,Yoga,27.3,4.2,3,0,21.3,3.0,0.5444444444444444,1.6333333333333333,70.5
71,38,Female,90.0,1.7,189.0,150.0,61.0,0.93,Strength,18.1,4.1,4,2,31.2,6.0,0.6953125,4.171875,349.2
72,33,Male,78.7,1.66,186.0,147.0,76.0,0.64,Cardio,22.3,2.9,3,0,28.5,7.0,0.6454545454545455,4.5181818181818185,227.6
73,35,Female,70.6,1.66,185.0,143.0,65.0,0.92,Cardio,22.7,2.4,3,1,25.8,7.0,0.65,4.55,295.5
74,41,Male,88.0,1.8,172.0,127.0,72.0,1.0,Yoga,22.7,4.3,5,2,27.2,3.0,0.55,1.65,145.2
75,43,Female,47.9,1.63,186.0,149.0,63.0,1.25,Strength,15.3,4.8,6,2,18.0,6.0,0.6991869918699187,4.195121951219512,251.2
76,42,Male,81.3,1.74,180.0,144.0,62.0,1.42,Strength,10.5,4.7,7,3,26.9,6.0,0.6949152542372882,4.169491525423729,481.4
77,58,Male,75.1,1.65,171.0,139.0,64.0,0.52,Strength,29.1,3.2,3,0,27.8,6.0,0.7009345794392523,4.205607476635514,164.2
78,46,Male,63.2,1.87,172.0,136.0,69.0,1.27,Cardio,18.2,3.7,3,1,18.0,7.0,0.6504854368932039,4.553398058252427,365.5
79,32,Female,83.3,1.75,190.0,171.0,58.0,1.09,HIIT,16.8,3.4,6,3,27.1,9.5,0.8560606060606061,8.132575757575758,738.4
80,18,Male,59.6,1.8,205.0,149.0,80.0,0.43,Yoga,25.3,3.5,2,0,18.3,3.0,0.552,1.656,42.4
81,42,Male,47.3,1.62,180.0,146.0,68.0,1.22,Strength,25.8,4.2,5,2,18.0,6.0,0.6964285714285714,4.178571428571429,241.1
82,24,Female,93.5,1.79,194.0,177.0,80.0,0.41,HIIT,34.9,2.4,3,0,29.3,9.5,0.8508771929824561,8.083333333333334,309.9
83,26,Female,54.3,1.65,192.0,154.0,67.0,1.03,Strength,23.0,4.1,5,2,20.0,6.0,0.696,4.176,233.6
84,41,Male,60.4,1.69,177.0,140.0,71.0,0.99,Cardio,17.4,3.3,5,2,21.1,7.0,0.6509433962264151,4.556603773584905,272.5
85,18,Female,95.0,1.84,205.0,162.0,62.0,1.31,Strength,15.2,4.0,5,3,28.0,6.0,0.6993006993006993,4.195804195804196,522.2
86,25,Female,56.6,1.58,192.0,147.0,63.0,0.78,Cardio,17.5,2.5,5,1,22.8,7.0,0.6511627906976745,4.558139534883721,201.2
87,41,Female,67.3,1.7,169.0,122.0,65.0,1.07,Yoga,24.3,4.2,6,2,23.3,3.0,0.5480769230769231,1.6442307692307694,118.4
88,28,Male,68.9,1.72,192.0,151.0,75.0,0.25,Cardio,26.2,2.1,2,0,23.2,7.0,0.6495726495726496,4.547008547008547,78.3
89,34,Female,76.2,1.73,186.0,147.0,55.0,0.74,Strength,30.6,3.2,4,1,25.4,6.0,0.7022900763358778,4.213740458015267,237.6
90,25,Male,61.7,1.63,193.0,161.0,65.0,0.93,Mixed,29.2,4.5,3,1,23.1,8.0,0.75,6.0,344.3
91,52,Female,87.2,1.89,165.0,152.0,80.0,0.89,HIIT,26.1,3.5,4,1,24.5,9.5,0.8470588235294118,8.047058823529412,624.5
92,52,Female,52.9,1.55,167.0,132.0,69.0,0.52,Cardio,22.0,3.2,3,1,22.0,7.0,0.6428571428571429,4.5,123.8
93,50,Male,84.7,1.83,163.0,127.0,59.0,1.13,Cardio,15.9,3.4,7,3,25.4,7.0,0.6538461538461539,4.576923076923077,438.1
94,22,Female,82.0,1.8,205.0,170.0,64.0,0.62,Mixed,32.7,3.8,3,0,25.3,8.0,0.75177304964539,6.01418439716312,305.8
95,59,Female,110.5,1.87,162.0,134.0,68.0,0.25,Strength,28.9,2.5,3,0,31.6,6.0,0.7021276595744681,4.212765957446809,116.4
96,56,Female,52.0,1.52,165.0,149.0,62.0,1.33,HIIT,11.0,3.9,7,3,22.5,9.5,0.8446601941747572,8.024271844660193,555.0
97,58,Female,59.0,1.59,167.0,152.0,68.0,0.77,HIIT,23.6,3.7,4,1,23.3,9.5,0.8484848484848485,8.06060606060606,366.2
98,45,Male,83.5,1.83,189.0,170.0,64.0,0.72,HIIT,22.4,3.6,4,1,25.0,9.5,0.848,8.056,484.3
99,24,Male,62.0,1.49,194.0,177.0,81.0,0.7,HIIT,21.3,2.9,3,0,27.9,9.5,0.8495575221238938,8.070796460176991,350.3
100,26,Male,45.3,1.52,196.0,140.0,71.0,0.27,Yoga,27.7,3.7,3,0,19.6,3.0,0.552,1.656,20.3
101,25,Male,65.0,1.63,199.0,153.0,68.0,0.76,Cardio,18.2,3.1,3,0,24.4,7.0,0.648854961832061,4.541984732824427,224.4
102,29,Male,52.0,1.7,194.0,141.0,75.0,0.67,Yoga,26.5,3.5,2,0,18.0,3.0,0.5546218487394958,1.6638655462184877,58.0
103,51,Male,77.5,1.84,174.0,125.0,66.0,0.44,Yoga,18.8,3.8,5,1,22.9,3.0,0.5462962962962963,1.6388888888888888,55.9
104,50,Male,78.1,1.66,175.0,140.0,61.0,0.98,Strength,13.8,3.8,7,2,28.3,6.0,0.6929824561403509,4.157894736842105,318.2
105,40,Female,55.3,1.62,178.0,137.0,60.0,1.32,Cardio,18.8,3.6,6,3,21.1,7.0,0.652542372881356,4.567796610169491,333.4
106,41,Male,72.3,1.71,185.0,151.0,72.0,0.41,Strength,26.2,3.1,2,0,24.7,6.0,0.6991150442477876,4.1946902654867255,124.3
107,54,Male,65.3,1.73,165.0,121.0,67.0,0.43,Yoga,15.3,3.3,3,0,21.9,3.0,0.5510204081632653,1.6530612244897958,46.4
108,52,Male,61.1,1.72,169.0,140.0,73.0,0.69,Strength,16.6,3.3,3,1,20.6,6.0,0.6979166666666666,4.1875,176.5
109,57,Female,77.0,1.66,166.0,127.0,79.0,0.25,Yoga,33.4,3.2,3,0,27.9,3.0,0.5517241379310345,1.6551724137931034,31.9
110,39,Male,43.7,1.48,177.0,149.0,64.0,0.92,Mixed,8.0,4.4,7,2,19.8,8.0,0.7522123893805309,6.017699115044247,241.9
111,44,Male,63.5,1.59,178.0,131.0,73.0,0.95,Yoga,24.4,4.0,4,1,25.2,3.0,0.5523809523809524,1.6571428571428573,100.0
112,52,Male,83.8,1.82,171.0,132.0,58.0,1.31,Cardio,8.0,3.5,5,3,25.2,7.0,0.6548672566371682,4.5840707964601775,503.2
113,18,Female,59.4,1.7,193.0,154.0,65.0,0.27,Strength,21.6,3.5,3,0,20.6,6.0,0.6953125,4.171875,66.9
114,52,Male,66.9,1.65,175.0,161.0,79.0,0.35,HIIT,24.1,3.1,3,0,24.6,9.5,0.8541666666666666,8.114583333333332,190.0
115,54,Female,65.0,1.79,162.0,149.0,75.0,1.03,HIIT,29.7,3.9,3,0,20.3,9.5,0.8505747126436781,8.080459770114942,541.0
116,31,Female,64.1,1.57,190.0,150.0,76.0,0.5,Cardio,36.2,2.5,2,0,26.1,7.0,0.6491228070175439,4.543859649122807,145.6
117,20,Female,51.5,1.66,205.0,163.0,64.0,0.9,Strength,17.6,3.9,4,2,18.7,6.0,0.7021276595744681,4.212765957446809,195.3
118,18,Female,65.0,1.69,205.0,183.0,59.0,0.84,HIIT,16.2,3.6,7,3,22.6,9.5,0.8493150684931506,8.068493150684931,440.5
119,22,Male,61.5,1.64,203.0,165.0,76.0,0.63,Strength,26.4,3.3,2,0,23.0,6.0,0.7007874015748031,4.2047244094488185,162.9
120,43,Female,81.3,1.69,183.0,167.0,76.0,0.63,HIIT,25.4,3.3,2,0,28.5,9.5,0.8504672897196262,8.07943925233645,413.8
121,31,Female,67.8,1.66,187.0,150.0,81.0,0.57,Cardio,29.2,3.1,2,0,24.6,7.0,0.6509433962264151,4.556603773584905,176.1
122,56,Male,66.0,1.54,159.0,146.0,72.0,0.94,HIIT,19.4,3.6,3,1,27.8,9.5,0.8505747126436781,8.080459770114942,501.3
123,44,Female,75.6,1.7,178.0,163.0,76.0,0.77,HIIT,27.6,3.2,5,1,26.2,9.5,0.8529411764705882,8.102941176470589,471.7
124,26,Female,62.7,1.55,198.0,179.0,73.0,0.94,HIIT,23.7,3.4,5,2,26.2,9.5,0.848,8.056,474.8
125,32,Female,65.3,1.7,194.0,146.0,57.0,1.0,Cardio,20.5,3.5,6,2,22.7,7.0,0.6496350364963503,4.547445255474452,296.9
126,32,Female,92.8,1.82,192.0,140.0,76.0,0.65,Yoga,22.1,4.1,5,1,28.1,3.0,0.5517241379310345,1.6551724137931034,99.8
127,43,Female,61.6,1.65,175.0,144.0,73.0,1.12,Strength,20.5,4.6,5,1,22.6,6.0,0.696078431372549,4.1764705882352935,288.1
128,59,Female,44.0,1.56,165.0,141.0,67.0,1.1,Mixed,24.9,4.2,7,2,18.0,8.0,0.7551020408163265,6.040816326530612,292.4
129,30,Male,64.3,1.67,179.0,153.0,75.0,1.08,Mixed,24.4,4.5,5,1,23.1,8.0,0.75,6.0,416.7
130,49,Male,65.8,1.6,177.0,162.0,74.0,0.58,HIIT,26.3,2.8,3,0,25.8,9.5,0.8543689320388349,8.116504854368932,309.8
131,56,Male,54.5,1.74,160.0,135.0,78.0,0.37,Strength,25.8,3.2,2,0,18.0,6.0,0.6951219512195121,4.170731707317072,84.1
132,49,Male,56.7,1.67,166.0,152.0,70.0,0.6,HIIT,28.9,2.8,3,0,20.5,9.5,0.8541666666666666,8.114583333333332,276.1
133,21,Female,65.4,1.85,205.0,162.0,63.0,1.39,Strength,21.0,4.3,4,1,19.1,6.0,0.6971830985915493,4.183098591549296,380.3
134,47,Female,87.6,1.8,173.0,148.0,73.0,0.9,Mixed,34.6,3.8,4,1,27.1,8.0,0.75,6.0,473.0
135,54,Female,85.1,1.66,165.0,151.0,75.0,0.68,HIIT,34.3,2.8,3,0,30.7,9.5,0.8444444444444444,8.022222222222222,464.2
136,40,Male,71.1,1.75,174.0,158.0,65.0,0.95,HIIT,18.5,3.3,4,2,23.2,9.5,0.8532110091743119,8.105504587155963,547.5
137,56,Male,70.3,1.64,166.0,136.0,66.0,0.82,Strength,23.6,3.5,3,1,26.1,6.0,0.7,4.199999999999999,242.1
138,32,Female,73.7,1.68,192.0,140.0,77.0,0.34,Yoga,28.7,3.5,3,0,26.0,3.0,0.5478260869565217,1.643478260869565,41.2
139,46,Female,81.6,1.64,172.0,156.0,63.0,0.71,HIIT,16.0,3.2,5,2,30.2,9.5,0.8532110091743119,8.105504587155963,469.6
140,53,Male,66.0,1.76,156.0,133.0,65.0,0.92,Mixed,17.1,4.2,5,2,21.4,8.0,0.7472527472527473,5.978021978021978,363.0
141,30,Male,76.9,1.82,198.0,179.0,73.0,0.31,HIIT,26.4,2.6,2,0,23.1,9.5,0.848,8.056,192.0
142,49,Male,70.1,1.76,170.0,130.0,56.0,1.32,Cardio,12.8,3.1,7,3,22.6,7.0,0.6491228070175439,4.543859649122807,420.5
143,24,Male,76.3,1.77,194.0,152.0,74.0,0.46,Cardio,21.4,2.9,2,0,24.3,7.0,0.65,4.55,159.7
144,39,Female,106.9,1.77,181.0,131.0,71.0,1.01,Yoga,20.6,4.6,6,2,34.0,3.0,0.5454545454545454,1.6363636363636362,176.7
145,45,Male,72.6,1.74,171.0,137.0,58.0,1.14,Strength,8.0,4.0,5,3,24.1,6.0,0.6991150442477876,4.1946902654867255,347.2
146,19,Male,50.5,1.57,205.0,156.0,64.0,1.03,Cardio,16.9,3.5,7,2,20.6,7.0,0.6524822695035462,4.567375886524824,237.6
147,59,Female,66.3,1.85,165.0,149.0,64.0,0.71,HIIT,26.8,2.9,4,2,19.4,9.5,0.8415841584158416,7.995049504950495,376.4
148,23,Female,100.4,1.86,199.0,178.0,57.0,1.31,HIIT,17.5,3.6,7,3,29.0,9.5,0.852112676056338,8.095070422535212,1064.7
149,45,Female,56.4,1.66,187.0,155.0,81.0,0.25,Strength,25.9,2.4,2,0,20.6,6.0,0.6981132075471698,4.188679245283018,59.1
150,45,Male,71.9,1.64,172.0,135.0,68.0,0.54,Cardio,26.6,2.4,3,0,26.7,7.0,0.6442307692307693,4.509615384615385,175.1
151,37,Male,64.5,1.74,189.0,159.0,70.0,1.08,Mixed,17.2,4.3,3,1,21.3,8.0,0.7478991596638656,5.983193277310924,416.8
152,47,Male,57.0,1.74,162.0,130.0,56.0,1.54,Strength,9.7,4.4,5,3,18.9,6.0,0.6981132075471698,4.188679245283018,367.7
153,28,Male,72.8,1.66,195.0,165.0,73.0,0.67,Mixed,14.0,4.3,3,1,26.4,8.0,0.7540983606557377,6.032786885245901,294.3
154,45,Female,51.9,1.55,186.0,167.0,61.0,1.14,HIIT,13.1,3.5,7,3,21.5,9.5,0.848,8.056,476.6
155,42,Female,75.2,1.71,173.0,150.0,81.0,0.62,Mixed,28.5,3.8,2,0,25.7,8.0,0.75,6.0,279.7
156,56,Male,78.3,1.74,172.0,141.0,69.0,1.09,Strength,16.2,3.7,7,2,26.0,6.0,0.6990291262135923,4.194174757281553,358.0
157,50,Male,80.4,1.75,163.0,127.0,60.0,0.75,Cardio,15.4,3.1,7,3,26.2,7.0,0.6504854368932039,4.553398058252427,274.6
158,18,Male,67.4,1.71,205.0,166.0,74.0,0.55,Strength,18.4,3.1,5,1,22.9,6.0,0.7022900763358778,4.213740458015267,156.2
159,44,Female,73.1,1.65,174.0,124.0,64.0,1.13,Yoga,15.6,4.8,6,3,26.7,3.0,0.5454545454545454,1.6363636363636362,135.2
160,30,Male,64.3,1.78,186.0,134.0,70.0,0.66,Yoga,23.1,3.9,3,0,20.3,3.0,0.5517241379310345,1.6551724137931034,70.2
161,58,Female,51.2,1.69,159.0,135.0,64.0,1.18,Mixed,12.9,4.5,7,3,18.0,8.0,0.7473684210526316,5.978947368421053,361.2
162,20,Male,71.6,1.63,200.0,179.0,61.0,1.05,HIIT,9.7,3.8,7,3,26.8,9.5,0.8489208633093526,8.06474820143885,606.3
163,56,Female,68.1,1.66,163.0,133.0,77.0,0.83,Cardio,23.7,3.3,3,0,24.7,7.0,0.6511627906976745,4.558139534883721,257.6
164,23,Female,48.9,1.51,197.0,165.0,68.0,1.17,Mixed,28.5,4.6,3,1,21.6,8.0,0.751937984496124,6.015503875968992,344.2
165,25,Male,50.0,1.66,197.0,157.0,66.0,0.57,Strength,17.4,3.1,5,1,18.1,6.0,0.6946564885496184,4.16793893129771,118.8
166,44,Female,55.1,1.75,177.0,129.0,70.0,0.77,Yoga,27.5,4.0,3,0,18.0,3.0,0.5514018691588785,1.6542056074766354,70.2
167,26,Female,71.1,1.71,194.0,146.0,58.0,0.77,Cardio,25.3,3.0,3,0,24.2,7.0,0.6470588235294118,4.529411764705882,248.0
168,54,Male,102.7,1.83,164.0,122.0,71.0,0.44,Yoga,26.2,3.4,2,0,30.6,3.0,0.5483870967741935,1.6451612903225803,74.3
169,50,Female,64.1,1.65,172.0,141.0,82.0,0.86,Cardio,22.5,2.9,3,1,23.4,7.0,0.6555555555555556,4.588888888888889,253.0
170,59,Male,67.4,1.73,163.0,132.0,74.0,0.71,Cardio,33.2,2.5,3,1,22.6,7.0,0.651685393258427,4.561797752808989,218.3
171,41,Female,74.0,1.76,181.0,127.0,62.0,1.34,Yoga,13.2,5.1,6,3,23.9,3.0,0.5462184873949579,1.638655462184874,162.5
172,32,Female,118.1,1.9,188.0,139.0,80.0,0.5,Yoga,26.9,3.4,3,0,32.7,3.0,0.5462962962962963,1.6388888888888888,96.8
173,49,Female,77.5,1.69,168.0,136.0,64.0,0.89,Strength,16.6,4.3,4,2,27.0,6.0,0.6923076923076923,4.153846153846153,286.5
174,49,Female,50.3,1.58,171.0,142.0,73.0,0.59,Strength,34.8,3.6,3,0,20.3,6.0,0.7040816326530612,4.224489795918368,125.4
175,41,Male,75.1,1.76,178.0,138.0,64.0,1.4,Cardio,9.6,3.3,5,2,24.1,7.0,0.6491228070175439,4.543859649122807,477.7
176,58,Male,88.3,1.87,152.0,123.0,56.0,0.97,Strength,13.5,3.7,7,3,25.3,6.0,0.6979166666666666,4.1875,358.7
177,29,Male,53.7,1.65,196.0,157.0,67.0,0.95,Strength,23.1,3.4,5,1,19.8,6.0,0.6976744186046512,4.186046511627907,213.6
178,56,Female,84.1,1.76,165.0,138.0,75.0,0.41,Strength,29.1,2.7,3,0,27.0,6.0,0.7,4.199999999999999,144.8
179,19,Female,67.4,1.8,201.0,155.0,70.0,1.02,Cardio,28.7,3.3,4,1,20.7,7.0,0.648854961832061,4.541984732824427,312.3
180,20,Male,57.1,1.78,203.0,184.0,82.0,0.83,HIIT,28.8,3.7,2,0,18.0,9.5,0.8429752066115702,8.008264462809917,379.5
